Model,Family,Acc_base,Acc_ret,F1_base,F1_ret,AUC_base,AUC_ret,ECE_base,ECE_ret,Delta_F1_pct,Strategy
ResNet-50,CNN,76.7,76.7,60.7,62.5,0.9,0.9,0.07,0.0636,+2.9%,Selective
ResNet-101,CNN,73.7,73.7,54.6,55.4,0.89,0.89,0.09,0.075,+1.4%,Selective
DenseNet-121,CNN,77.3,77.3,59.0,59.3,0.89,0.89,0.06,0.058,+0.5%,Selective
EffNet-B3,Efficient,68.5,68.5,49.6,50.6,0.9,0.9,0.15,0.142,+2.1%,Weighted
EffNet-B5,Efficient,80.3,80.3,62.8,63.7,0.93,0.93,0.09,0.0825,+1.5%,Weighted
MobileV3-L,Efficient,75.1,75.1,57.3,58.6,0.92,0.92,0.07,0.017,+2.2%,Weighted
ViT-B/16,Transformer,71.5,71.5,51.6,51.6,0.92,0.92,0.16,0.16,+0.0%,Both
Swin-T,Transformer,80.6,80.6,64.9,67.2,0.94,0.94,0.08,0.055,+3.5%,Both
ConvNeXt-S,Hybrid,75.6,75.6,59.6,59.7,0.95,0.95,0.11,0.108,+0.13%,Both
MaxViT-T,Hybrid,76.7,76.7,59.4,60.3,0.94,0.94,0.11,0.11,+1.5%,Both
