Model,Family,Acc_base,Acc_ret,F1_base,F1_ret,AUC_base,AUC_ret,ECE_base,ECE_ret,Delta_F1_pct,Strategy
ResNet-50,CNN,94.5,94.5,94.4,94.2,0.99,0.99,0.03,0.041,-0.2%,Selective
ResNet-101,CNN,94.1,94.1,94.0,95.8,0.99,0.99,0.03,0.031,+1.9%,Selective
DenseNet-121,CNN,94.3,94.3,94.2,94.8,0.99,0.99,0.02,0.022,+0.6%,Selective
EffNet-B3,Efficient,90.9,90.9,90.8,91.8,0.98,0.98,0.05,0.049,+1.1%,Weighted
EffNet-B5,Efficient,95.2,95.2,95.1,95.6,0.99,0.99,0.03,0.029,+0.5%,Weighted
MobileV3-L,Efficient,93.6,93.6,93.6,94.2,0.99,0.99,0.03,0.027,+0.6%,Weighted
ViT-B/16,Transformer,94.5,94.5,94.4,94.3,0.98,0.98,0.03,0.039,-0.1%,Both
Swin-T,Transformer,95.2,95.2,95.1,94.1,0.99,0.99,0.04,0.043,-1.1%,Both
ConvNeXt-S,Hybrid,95.7,95.7,95.7,95.2,0.99,0.99,0.04,0.044,-0.5%,Both
MaxViT-T,Hybrid,94.4,94.4,94.4,95.3,0.99,0.99,0.03,0.036,+0.9%,Both
