Model,Family,Acc_base,Acc_ret,F1_base,F1_ret,AUC_base,AUC_ret,ECE_base,ECE_ret,Delta_F1_pct,Strategy
ResNet-50,CNN,72.6,72.6,72.5,74.2,0.92,0.92,0.13,0.071,+1.7%,Selective
ResNet-101,CNN,72.6,72.6,72.0,72.0,0.93,0.93,0.1,0.1,+0.0%,Selective
DenseNet-121,CNN,83.8,83.8,82.6,82.9,0.96,0.96,0.11,0.088,+0.4%,Selective
EffNet-B3,Efficient,61.5,61.5,60.9,59.3,0.82,0.82,0.25,0.248,-2.6%,Weighted
EffNet-B5,Efficient,80.3,80.3,79.0,82.0,0.96,0.96,0.14,0.128,+3.8%,Weighted
MobileV3-L,Efficient,58.1,58.1,58.9,60.4,0.89,0.89,0.12,0.097,+2.5%,Weighted
ViT-B/16,Transformer,57.3,57.3,51.5,55.7,0.78,0.78,0.17,0.078,+8.1%,Both
Swin-T,Transformer,85.5,85.5,84.6,90.1,0.97,0.97,0.1,0.047,+6.5%,Both
ConvNeXt-S,Hybrid,73.5,73.5,73.0,77.8,0.91,0.91,0.19,0.104,+6.6%,Both
MaxViT-T,Hybrid,82.1,82.1,81.0,82.8,0.95,0.95,0.05,0.063,+2.2%,Both
