Model,Family,Acc_base,Acc_ret,F1_base,F1_ret,AUC_base,AUC_ret,ECE_base,ECE_ret,Delta_F1_pct,Strategy
ResNet-50,CNN,55.9,55.9,50.6,50.8,0.83,0.83,0.25,0.232,+0.4%,Selective
ResNet-101,CNN,55.2,55.2,50.3,52.2,0.85,0.85,0.24,0.194,+3.8%,Selective
DenseNet-121,CNN,57.4,57.4,52.7,55.5,0.86,0.86,0.18,0.171,+5.3%,Selective
EffNet-B3,Efficient,52.4,52.4,48.3,49.2,0.81,0.81,0.3,0.296,+1.9%,Weighted
EffNet-B5,Efficient,55.2,55.2,51.6,52.4,0.85,0.85,0.23,0.231,+1.6%,Weighted
MobileV3-L,Efficient,56.9,56.9,51.4,53.0,0.86,0.86,0.24,0.181,+3.2%,Weighted
ViT-B/16,Transformer,60.3,60.3,55.8,57.1,0.88,0.88,0.13,0.107,+2.4%,Both
Swin-T,Transformer,55.2,55.2,51.2,52.8,0.89,0.89,0.16,0.146,+3.1%,Both
ConvNeXt-S,Hybrid,56.8,56.8,53.1,57.9,0.86,0.86,0.18,0.164,+9.0%,Both
MaxViT-T,Hybrid,57.7,57.7,54.4,53.7,0.87,0.87,0.2,0.198,-1.3%,Both
