Model,Family,Acc_base,Acc_ret,F1_base,F1_ret,AUC_base,AUC_ret,ECE_base,ECE_ret,Delta_F1_pct,Strategy
ResNet-50,CNN,90.9,90.9,90.9,91.1,0.99,0.99,0.03,0.047,+0.2%,Selective
ResNet-101,CNN,91.7,91.7,91.6,91.4,0.99,0.99,0.05,0.059,-0.2%,Selective
DenseNet-121,CNN,92.0,92.0,92.0,91.2,0.99,0.99,0.04,0.051,-0.9%,Selective
EffNet-B3,Efficient,89.0,89.0,89.0,90.3,0.99,0.99,0.06,0.059,+1.5%,Weighted
EffNet-B5,Efficient,93.3,93.3,93.3,91.6,1.0,1.0,0.04,0.06,-1.8%,Weighted
MobileV3-L,Efficient,91.1,91.1,91.1,91.2,0.99,0.99,0.04,0.048,+0.1%,Weighted
ViT-B/16,Transformer,91.5,91.5,91.5,91.8,0.99,0.99,0.05,0.052,+0.3%,Both
Swin-T,Transformer,92.4,92.4,92.4,93.2,1.0,1.0,0.04,0.043,+0.9%,Both
ConvNeXt-S,Hybrid,92.9,92.9,92.9,92.2,0.99,0.99,0.05,0.056,-0.8%,Both
MaxViT-T,Hybrid,93.9,93.9,93.9,93.5,1.0,1.0,0.03,0.048,-0.4%,Both
